name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
World of Warships,"Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!","Naval Combat, Free to Play, Naval, World War II, Massively Multiplayer, Multiplayer, Action, Tactical, PvP, Historical, Military, Online Co-Op, Team-Based, Simulation, Realistic, Shooter, PvE, War, Third-Person Shooter, Co-op",2017-11-15,Wargaming Group Limited,Wargaming Group Limited,Mostly Positive,"(142,698)",46302,https://store.steampowered.com/app/552990/World_of_Warships?snr=1_category_4_simulation_salebrowseall
Assetto Corsa Competizione,"Assetto Corsa Competizione, the official GT World Challenge videogame. Thanks to the extraordinary quality of simulation, you will experience the atmosphere of the GT3 championship. Compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen.","Racing, Automobile Sim, Simulation, VR, Multiplayer, Driving, Realistic, Sports, Singleplayer, Controller, Open World, eSports, Early Access, First-Person, Competitive, Online Co-Op, Atmospheric, Moddable, Difficult, PvP",2019-05-29,Kunos Simulazioni,505 Games,Very Positive,"(23,536)",15296,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione?snr=1_category_4_simulation_salebrowseall
World of Tanks,"Jump into the free-to-play team-based shooter with an ever-expanding roster of historical vehicles, stunning graphics, spectacular locales, and orchestral scores. Show your mastery and face other players in thrilling PvP clashes. A unique mix of strategy and action awaits!","Tanks, Free to Play, Action, Military, PvP, Vehicular Combat, Multiplayer, Team-Based, Tactical, Massively Multiplayer, War, Historical, World War II, Simulation, Co-op, Realistic, Shooter, Third Person, Third-Person Shooter, PvE",2021-04-28,Wargaming Group Limited,Wargaming Group Limited,Very Positive,"(79,113)",18685,https://store.steampowered.com/app/1407200/World_of_Tanks?snr=1_category_4_simulation_salebrowseall
Dyson Sphere Program,"Build the most efficient intergalactic factory in space simulation strategy game Dyson Sphere Program! Harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire.","Space, Automation, Base Building, Building, Open World, Resource Management, Simulation, Sci-fi, Management, Sandbox, City Builder, Strategy, Singleplayer, Space Sim, 3D, Third Person, Early Access, Indie, RTS, Multiplayer",2021-01-20,Youthcat Studio,Gamera Games,Overwhelmingly Positive,"(73,564)",22509,https://store.steampowered.com/app/1366540/Dyson_Sphere_Program?snr=1_category_4_simulation_salebrowseall
Jurassic World Evolution 2,Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.,"Dinosaurs, Building, Simulation, Management, Sandbox, Strategy, Singleplayer, City Builder, Economy, Resource Management, Sci-fi, Open World, Violent, Atmospheric, Sequel, Action, Multiplayer, Survival, Base Building, Casual",2021-11-09,Frontier Developments,Frontier Developments,Very Positive,"(25,599)",16002,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2?snr=1_category_4_simulation_salebrowseall
DCS World Steam Edition,Feel the excitement of flying the Su-25T 'Frogfoot' attack jet and the TF-51D 'Mustang' in the free-to-play Digital Combat Simulator World!,"Simulation, Flight, Free to Play, Multiplayer, Military, Realistic, VR, War, Open World, Singleplayer, Shooter, Action, Co-op, Sandbox, TrackIR, First-Person, Tanks, Strategy, Massively Multiplayer, FPS",2018-03-18,Eagle Dynamics SA,Eagle Dynamics SA,Very Positive,"(34,329)",19519,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition?snr=1_category_4_simulation_salebrowseall
American Truck Simulator - Arkansas,,"Simulation, Indie, Multiplayer",2024-09-16,SCS Software,SCS Software,Very Positive,(87% of 143) All Time,89,https://store.steampowered.com/app/2585150/American_Truck_Simulator__Arkansas?snr=1_category_4_simulation_salebrowseall
Train Sim World® 5,The Rails are Yours in Train Sim World 5! Take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. Immerse yourself in the ultimate rail hobby and embark on your next journey.,"Simulation, Adventure, Automobile Sim, Immersive Sim, First-Person, Realistic, VR, Atmospheric, Trains, Driving, Relaxing, Family Friendly, Transportation, Open World, Physics, Singleplayer, Story Rich",2024-09-17,Dovetail Games,Dovetail Games - TSW,Mostly Positive,(75% of 320) All Time,255,https://store.steampowered.com/app/2967990/Train_Sim_World_5?snr=1_category_4_simulation_salebrowseall
Crusader Kings III: Tours & Tournaments,,"RPG, Strategy, Simulation, Medieval",2023-05-11,"Paradox Development Studio, Paradox Thalassic",Paradox Interactive,Mostly Positive,"(77% of 1,326) All Time",883,https://store.steampowered.com/app/2311920/Crusader_Kings_III_Tours__Tournaments?snr=1_category_4_simulation_salebrowseall
Cities: Skylines II,"Raise a city from the ground up and transform it into a thriving metropolis with the most realistic city builder ever. Push your creativity and problem-solving to build on a scale youve never experienced. With deep simulation and a living economy, this is world-building without limits.","Simulation, City Builder, Building, Singleplayer, Sandbox, Management, Economy, Strategy, Realistic, Moddable, Resource Management, Relaxing, Transportation, Casual, Multiplayer, Atmospheric, Early Access, Open World, Great Soundtrack, Mod",2023-10-24,Colossal Order Ltd.,Paradox Interactive,Mixed,"(42,905)",30772,https://store.steampowered.com/app/949230/Cities_Skylines_II?snr=1_category_4_simulation_salebrowseall
Fields of Mistria,"Start your new life! Build the farm of your dreams as you discover a world brimming with possibilities. Magic, romance, and adventure all await you in this nostalgic farming / life sim RPG!","Early Access, RPG, Farming Sim, Simulation, Dating Sim, Life Sim, Romance, Farming, Agriculture, Cute, Relaxing, Anime, Sandbox, Open World, Pixel Graphics, 2D, Crafting, Building, Cooking, Mining",2024-08-05,NPC Studio,NPC Studio,Overwhelmingly Positive,"(8,331)",7604,https://store.steampowered.com/app/2142790/Fields_of_Mistria?snr=1_category_4_simulation_100726
Supermarket Simulator,"Run your own supermarket. Stock shelves, set prices as youd like, take payments, hire staff, expand and design your store. Online orders & delivery, shoplifters, security, local market are upcoming.","Simulation, Management, Economy, Multiplayer, Singleplayer, Immersive Sim, Trading, First-Person, Life Sim, Building, Capitalism, Resource Management, 3D, Sandbox, Realistic, Casual, Inventory Management, Early Access, Indie, Driving",2024-02-20,Nokta Games,Nokta Games,Very Positive,"(48,211)",21084,https://store.steampowered.com/app/2670630/Supermarket_Simulator?snr=1_category_4_simulation_100726
CarX Street,"Conquer mountain roads, highways, and city streets. Build your dream car with detailed tuning that unleashes the potential of “CarX Technology”© physics. Take part in thrilling races, enjoying realistic gameplay and dynamic driving.","Racing, Open World, Multiplayer, PvP, Automobile Sim, Driving, Sandbox, Simulation, Massively Multiplayer, Exploration, Sports, Third Person, Atmospheric, First-Person, Action, Arcade, 3D, 3D Vision, Physics, 6DOF",2024-08-29,"CarX Technologies, LLC","CarX Technologies, LLC",Mixed,"(68% of 5,425) All Time",3489,https://store.steampowered.com/app/1114150/CarX_Street?snr=1_category_4_simulation_100726
Hearts of Iron IV,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real-Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co-op, Strategy RPG, Competitive, Open World, Action",2016-06-06,Paradox Development Studio,Paradox Interactive,Very Positive,"(218,593)",137260,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV?snr=1_category_4_simulation_100726
shapez 2,Dive into a factory-building game where the focus is on just that — building huge factories! Construct sprawling multi-level factories and min-max your layouts without limits. Shapez 2 is tailor-made for enthusiasts who crave the thrill of optimizing production lines and perfecting automation.,"Management, Strategy, Automation, Futuristic, Early Access, Building, Puzzle, Crafting, Simulation, Sandbox, Trains, Space, Transportation, Base Building, 3D, Logic, Singleplayer, Casual, Relaxing, Procedural Generation",2024-08-15,tobspr Games,"tobspr Games, Gamera Games",Overwhelmingly Positive,"(6,553)",4720,https://store.steampowered.com/app/2162800/shapez_2?snr=1_category_4_simulation_100726
Ale & Tale Tavern,"Get ready for a thrilling mix of genres: a cooperative, first-person, open-world fantasy tavern simulator, action, fishing, hunting, exploration, and completing fun and diverse quests. And, of course, COOKING! Play with friends, feed and quench the thirst of the entire world!","Adventure, Simulation, Online Co-Op, Cooking, Fantasy, Action, First-Person, Management, Co-op, Sandbox, 3D, Casual, Economy, Indie, Building, Exploration, Family Friendly, Action-Adventure, Party Game, Singleplayer",2024-09-05,Scienart Games,"GrabTheGames, UpgradePoint",Very Positive,"(84% of 1,478) All Time",747,https://store.steampowered.com/app/2683150/Ale__Tale_Tavern?snr=1_category_4_simulation_100726
7 Days to Die,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft, Base Building, Voxel, Post-apocalyptic, Online Co-Op, Building, Exploration, Sandbox, FPS, Simulation, Character Customization, Strategy, Tower Defense, Action, Procedural Generation, Horror",2024-07-25,The Fun Pimps,The Fun Pimps Entertainment LLC,Very Positive,"(231,932)",158982,https://store.steampowered.com/app/251570/7_Days_to_Die?snr=1_category_4_simulation_100726
Garrys Mod,Garrys Mod is a physics sandbox. There arent any predefined aims or goals. We give you the tools and leave you to play.,"Sandbox, Moddable, Multiplayer, Physics, Building, Casual, Funny, First-Person, Singleplayer, FPS, Simulation, Online Co-Op, Co-op, Shooter, Comedy, Action, Indie, PvP, Realistic, Exploration",2006-11-29,Facepunch Studios,Valve,Overwhelmingly Positive,"(945,676)",548369,https://store.steampowered.com/app/4000/Garrys_Mod?snr=1_category_4_simulation_100727
People Playground,"Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.","Sandbox, Gore, Physics, Blood, Moddable, Violent, 2D, Singleplayer, Destruction, Simulation, Funny, Building, Pixel Graphics, Psychological Horror, Indie, Action, Casual, Horror, Comedy, Choose Your Own Adventure",2019-07-23,mestiez,Studio Minus,Overwhelmingly Positive,"(243,162)",154929,https://store.steampowered.com/app/1118200/People_Playground?snr=1_category_4_simulation_100727
Cities: Skylines,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,"City Builder, Simulation, Building, Management, Strategy, Sandbox, Singleplayer, Moddable, Economy, Resource Management, Mod, Realistic, Replay Value, Casual, Modern, Real-Time with Pause, Family Friendly, Great Soundtrack, Funny, Action",2015-03-10,Colossal Order Ltd.,Paradox Interactive,Very Positive,"(193,925)",118310,https://store.steampowered.com/app/255710/Cities_Skylines?snr=1_category_4_simulation_100727
Totally Accurate Battle Simulator,"Be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. Watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer.","Sandbox, Simulation, Funny, War, Physics, Strategy, Singleplayer, Realistic, Indie, Adventure, Colorful, Fantasy, 3D, Comedy, Action, Historical, Family Friendly, Cute, Wargame, Memes",2021-04-01,Landfall,Landfall,Overwhelmingly Positive,"(119,634)",76320,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator?snr=1_category_4_simulation_100727
Kerbal Space Program,"In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics.","Space, Simulation, Sandbox, Physics, Science, Space Sim, Building, Moddable, Indie, Education, Open World, Singleplayer, Exploration, Funny, Sci-fi, Difficult, Adventure, Replay Value, Strategy, Comedy",2015-04-27,Squad,Private Division,Overwhelmingly Positive,"(100,053)",84199,https://store.steampowered.com/app/220200/Kerbal_Space_Program?snr=1_category_4_simulation_100727
Oxygen Not Included,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.","Colony Sim, Base Building, Survival, Resource Management, Building, Singleplayer, Management, 2D, Simulation, Sandbox, Strategy, Space, Indie, Sci-fi, Exploration, Difficult, Open World, Multiplayer, Adventure, Space Sim",2019-07-30,Klei Entertainment,Klei Entertainment,Overwhelmingly Positive,"(112,146)",44913,https://store.steampowered.com/app/457140/Oxygen_Not_Included?snr=1_category_4_simulation_100727
Arma 3,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","Military, Action, Multiplayer, Shooter, Simulation, Realistic, First-Person, Open World, Tactical, FPS, War, Co-op, Strategy, Sandbox, Singleplayer, Moddable, Combat, Online Co-Op, Team-Based, Third-Person Shooter",2013-09-12,Bohemia Interactive,Bohemia Interactive,Very Positive,"(206,149)",129188,https://store.steampowered.com/app/107410/Arma_3?snr=1_category_4_simulation_100727
"Papers, Please","Congratulations. The October labor lottery is complete. Your name was pulled. For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint. An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Indie, Political, Simulation, Singleplayer, Point & Click, Pixel Graphics, Dystopian, Multiple Endings, Puzzle, Story Rich, Retro, Atmospheric, 2D, Great Soundtrack, Addictive, Strategy, Replay Value, Casual, Difficult, Adventure",2013-08-08,Lucas Pope,3909,Overwhelmingly Positive,"(64,040)",39171,https://store.steampowered.com/app/239030/Papers_Please?snr=1_category_4_simulation_100727
Sid Meier’s Civilization® VI,"Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?","Strategy, Turn-Based Strategy, Multiplayer, Historical, Singleplayer, Grand Strategy, Turn-Based, 4X, War, Simulation, City Builder, Tactical, Management, Building, Great Soundtrack, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric",2016-10-20,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Very Positive,"(238,316)",133618,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI?snr=1_category_4_simulation_100727
Teardown,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.,"Destruction, Physics, Sandbox, Voxel, First-Person, Singleplayer, Heist, Open World, Realistic, 3D, Simulation, Action, Puzzle, Driving, Indie, Immersive Sim, Tactical, Replay Value, Puzzle Platformer, Runner",2022-04-21,Tuxedo Labs,"Tuxedo Labs, Saber Interactive",Overwhelmingly Positive,"(89,873)",62030,https://store.steampowered.com/app/1167630/Teardown?snr=1_category_4_simulation_100727
Game Dev Tycoon,In Game Dev Tycoon you replay the history of the gaming industry by starting your own video game development company in the 80s. Create best selling games. Research new technologies and invent new game types. Become the leader of the market and gain worldwide fans.,"Management, Simulation, Indie, Strategy, Casual, Singleplayer, Economy, 2D, Moddable, Addictive, Replay Value, GameMaker, Sandbox, Funny, Difficult, Point & Click, Great Soundtrack, Isometric, Comedy, Touch-Friendly",2013-08-29,Greenheart Games ??,Greenheart Games ??,Overwhelmingly Positive,"(37,770)",24191,https://store.steampowered.com/app/239820/Game_Dev_Tycoon?snr=1_category_4_simulation_100727
CarX Drift Racing Online,"CarX Drift Racing Online is your chance to immerse yourself in the real world of drifting. Get together with friends, tune your car and burn some tires!","Racing, Driving, Multiplayer, Automobile Sim, Simulation, Sports, Open World, Massively Multiplayer, Controller, VR, Singleplayer, Arcade, Realistic, Local Multiplayer, Co-op, Mod, Games Workshop, Casual, Action, Early Access",2017-11-17,"CarX Technologies, LLC","CarX Technologies, LLC",Overwhelmingly Positive,"(73,316)",37944,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online?snr=1_category_4_simulation_100727
Slime Rancher,"Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the ‘Far, Far Range’ where she tries her hand at making a living wrangling slimes.","Cute, Exploration, Adventure, Singleplayer, Open World, First-Person, Colorful, Funny, Sandbox, Simulation, Casual, Management, Fantasy, Family Friendly, Indie, Great Soundtrack, Female Protagonist, Action, Early Access, FPS",2017-08-01,Monomi Park,Monomi Park,Overwhelmingly Positive,"(110,588)",65610,https://store.steampowered.com/app/433340/Slime_Rancher?snr=1_category_4_simulation_100727
Car Mechanic Simulator 2021,Work your way to a service empire. Get your hands dirty in a highly realistic simulation game that pays major attention to details. Pay a visit to a new Auction house and buy cars in various conditions. Expand your range of services by investing in a new work space and equipment.,"Simulation, Automobile Sim, Sandbox, Realistic, Moddable, Racing, Driving, 3D, Education, Singleplayer, First-Person, Immersive Sim, Puzzle, Open World, Atmospheric, Adventure, Minigames, Indie, VR, Strategy",2021-08-11,Red Dot Games,PlayWay S.A.,Overwhelmingly Positive,"(24,893)",12663,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021?snr=1_category_4_simulation_100727
Tabletop Simulator,"Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table! There are no rules to follow: just you, a physics sandbox, and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming possibilities!","Tabletop, Board Game, Simulation, Multiplayer, Sandbox, Card Game, VR, Trading Card Game, Physics, Moddable, Casual, 3D, Strategy, Online Co-Op, Wargame, Co-op, RPG, Funny, First-Person, Indie",2015-06-05,Berserk Games,Berserk Games,Overwhelmingly Positive,"(40,083)",42735,https://store.steampowered.com/app/286160/Tabletop_Simulator?snr=1_category_4_simulation_100727
PowerWash Simulator,"Release the Pressure with PowerWash Simulator! Wash away your worries with the soothing sounds of high-pressure water. Fire up your power washer and blast away every speck of dirt and grime you can find, all with the simple satisfaction of power-washing to a sparkling finish.","Casual, Relaxing, Simulation, First-Person, Multiplayer, 3D, Sandbox, Funny, Immersive Sim, Co-op, Online Co-Op, Family Friendly, Story Rich, Colorful, Realistic, Wholesome, Singleplayer, Indie, Cozy, Atmospheric",2022-07-14,FuturLab,Square Enix,Overwhelmingly Positive,"(41,185)",35905,https://store.steampowered.com/app/1290000/PowerWash_Simulator?snr=1_category_4_simulation_100727
Aimlabs,"Aimlabs is the aim trainer of choice for over 30 Million players, from beginners to esports pros. Our unique aim analysis optimizes your gameplay, targets your weaknesses & builds key skills for any FPS game! Time to warm up with our unlimited scenarios & rank up in-game!","Free to Play, FPS, Shooter, Simulation, Multiplayer, First-Person, Singleplayer, Action, eSports, Competitive, Indie, Casual, Sniper, Fast-Paced, Early Access, Difficult, Score Attack, Tactical, Adventure, Third-Person Shooter",2023-06-16,"State Space Labs, Inc.","State Space Labs, Inc.",Very Positive,"(116,386)",59602,https://store.steampowered.com/app/714010/Aimlabs?snr=1_category_4_simulation_100727
My Summer Car,"My Summer Car is the ultimate car owning, building, fixing, tuning, maintenance AND permadeath life survival simulator. You start the game with hundreds of loose parts and assemble both car and engine.","Automobile Sim, Simulation, Driving, Open World, Survival, Realistic, First-Person, Building, Racing, Singleplayer, Funny, Early Access, Sandbox, Difficult, Perma Death, Comedy, Indie, Adventure, Multiplayer, Puzzle",2016-10-24,Amistech Games,Amistech Games,Very Positive,"(71,176)",29091,https://store.steampowered.com/app/516750/My_Summer_Car?snr=1_category_4_simulation_100727
House Flipper,"House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit!","Simulation, Design & Illustration, Building, Singleplayer, Relaxing, Sandbox, Casual, Immersive Sim, Education, Management, First-Person, Economy, Family Friendly, Base Building, Replay Value, 3D, Realistic, Multiplayer, Indie, Moddable",2018-05-17,Empyrean,"Frozen District, PlayWay S.A.",Very Positive,"(78,509)",45422,https://store.steampowered.com/app/613100/House_Flipper?snr=1_category_4_simulation_100727
Plague Inc: Evolved,"Plague Inc: Evolved is a unique mix of high strategy and terrifyingly realistic simulation. Your pathogen has just infected Patient Zero - now you must bring about the end of human history by evolving a deadly, global Plague whilst adapting against everything humanity can do to defend itself.","Strategy, Simulation, Outbreak Sim, Indie, Singleplayer, Multiplayer, Zombies, Casual, Tactical, Replay Value, Post-apocalyptic, Addictive, Realistic, 2D, Difficult, Atmospheric, Co-op, Sandbox, Early Access, Survival",2016-02-18,Ndemic Creations,Ndemic Creations,Very Positive,"(46,662)",24836,https://store.steampowered.com/app/246620/Plague_Inc_Evolved?snr=1_category_4_simulation_100727
Age of Mythology: Retold,"From the creators of the award-winning Age of Empires franchise, Age of Mythology: Retold goes beyond history to a mythical age where gods, monsters, and humans collide.","Strategy, RTS, Mythology, Action RTS, Base Building, Fantasy, Top-Down, Magic, Multiplayer, Level Editor, Resource Management, Moddable, PvP, PvE, Story Rich, Co-op, Singleplayer, Tutorial, Online Co-Op, 3D",2024-09-04,"['Worlds Edge', Forgotten Empires, Tantalus Media, CaptureAge, Virtuos Games",Xbox Game Studios,Very Positive,"(89% of 8,251) All Time",4746,https://store.steampowered.com/app/1934680/Age_of_Mythology_Retold?snr=1_category_4_strategy_salebrowseall
Magic: The Gathering Arena,"Magic: The Gathering Arena empowers you to discover your strategy, meet the planeswalkers, explore the multiverse, and battle friends around the world. Start playing for free, challenge your friends, unlock cards, and feel the magic of the original fantasy CCG!","Strategy, Card Game, Trading Card Game, Free to Play, Deckbuilding, PvP, Turn-Based Strategy, eSports, Multiplayer, Fantasy, Magic, Tactical, Gambling, LGBTQ+",2023-05-23,Wizards of the Coast LLC,Wizards of the Coast LLC,Mixed,"(13,490)",9352,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena?snr=1_category_4_strategy_salebrowseall
Total War: WARHAMMER II,"Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.","Strategy, Fantasy, Turn-Based Strategy, RTS, Grand Strategy, War, Multiplayer, Games Workshop, Action, Turn-Based, Singleplayer, Dark Fantasy, Co-op, Tactical, Real Time Tactics, Story Rich, Atmospheric, Dwarf, Dinosaurs, Great Soundtrack",2017-09-28,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Very Positive,"(83,365)",67315,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II?snr=1_category_4_strategy_salebrowseall
Total War: WARHAMMER,"Addictive turn-based empire-building with colossal, real-time battles, all set in a world of legendary heroes, giant monsters, flying creatures and storms of magical power.","Strategy, Fantasy, RTS, War, Turn-Based Strategy, Games Workshop, Grand Strategy, Multiplayer, Tactical, Dark Fantasy, Action, Singleplayer, Turn-Based, Atmospheric, Dwarf, Co-op, Story Rich, Open World, RPG, Gore",2016-05-24,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)","SEGA, Feral Interactive (Linux), Feral Interactive (Mac)",Mostly Positive,"(31,165)",27852,https://store.steampowered.com/app/364360/Total_War_WARHAMMER?snr=1_category_4_strategy_salebrowseall
Total War: WARHAMMER III - Shadows of Change,,"Strategy, Action, Dark Fantasy, Grand Strategy, Fantasy, RTS, Turn-Based Strategy, Psychological Horror, Real Time Tactics, Atmospheric, Singleplayer, Online Co-Op, Tactical, War, Co-op, Multiplayer, PvP, Colorful, Story Rich",2023-08-31,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive",Mostly Negative,"(3,349)",2391,https://store.steampowered.com/app/2325830/Total_War_WARHAMMER_III__Shadows_of_Change?snr=1_category_4_strategy_salebrowseall
Total War: THREE KINGDOMS,"Total War: THREE KINGDOMS is the first in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, THREE KINGDOMS redefines the series in an age of heroes & legends.","Strategy, Historical, War, Turn-Based Strategy, Grand Strategy, RTS, Military, Multiplayer, Tactical, Singleplayer, Real Time Tactics, Action, Turn-Based, Great Soundtrack, Co-op, Simulation, Sandbox, Violent, Fantasy, Destruction",2019-05-23,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Very Positive,"(57,730)",21185,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS?snr=1_category_4_strategy_salebrowseall
Total War: PHARAOH,"In Total War: PHARAOH, the newest entry in the award-winning grand strategy series, immerse yourself in ancient Egypt at the zenith of its power and experience the dramatic events that threaten its destruction.","Strategy, RTS, Grand Strategy, Action, Tactical, War, Multiplayer, Atmospheric, Singleplayer, Turn-Based Strategy, PvP, Historical, 4X, Capitalism, Rome, Management, Psychological Horror, Sexual Content, Nudity, NSFW",2023-10-11,CREATIVE ASSEMBLY,SEGA,Mixed,"(3,189)",2823,https://store.steampowered.com/app/1937780/Total_War_PHARAOH?snr=1_category_4_strategy_salebrowseall
Inscryption,"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...","Card Battler, Card Game, Story Rich, Deckbuilding, Horror, Dark, Puzzle, Strategy, Roguelite, Psychological, Roguelike, Surreal, Experimental, First-Person, Point & Click, 3D, 2D, FMV, Pixel Graphics, Adventure",2021-10-19,Daniel Mullins Games,Devolver Digital,Overwhelmingly Positive,"(109,837)",71293,https://store.steampowered.com/app/1092790/Inscryption?snr=1_category_4_strategy_salebrowseall
Two Point Hospital,"Design stunning hospitals, cure peculiar illnesses and manage troublesome staff as you spread your budding healthcare organisation across Two Point County.","Simulation, Medical Sim, Management, Building, Funny, Singleplayer, Strategy, Sandbox, Indie, Comedy, Casual, City Builder, Replay Value, Cartoony, Multiplayer, Isometric, Family Friendly, Classic, Retro, Tactical",2018-08-29,Two Point Studios,SEGA,Very Positive,"(24,391)",15451,https://store.steampowered.com/app/535930/Two_Point_Hospital?snr=1_category_4_strategy_salebrowseall
Company of Heroes 3,"Company of Heroes 3 combines heart-pounding combat with deeper strategic choices in a stunning Mediterranean theatre of war. In Company of Heroes 3, every battle tells a story...whats yours?","Strategy, Wargame, RTS, Action RTS, Real Time Tactics, World War II, PvP, Turn-Based Tactics, Historical, Military, Top-Down, Turn-Based Strategy, Action, Choices Matter, Tactical, Turn-Based Combat, War, Singleplayer, Multiplayer, Cinematic",2023-02-23,Relic Entertainment,SEGA,Mixed,"(15,774)",14395,https://store.steampowered.com/app/1677280/Company_of_Heroes_3?snr=1_category_4_strategy_salebrowseall
Total War: ROME II - Emperor Edition,"Emperor Edition is the definitive edition of ROME II, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battleEmperor Edition contains all free feature updates since its release in 2013, which includes bug fixes, balancing, Twitch.","Strategy, Historical, Turn-Based Strategy, Grand Strategy, Rome, Tactical, Multiplayer, War, Real Time Tactics, RTS, Turn-Based, Singleplayer, Online Co-Op, Simulation, Turn-Based Tactics, Co-op, Moddable, Action, Atmospheric, Education",2013-09-02,CREATIVE ASSEMBLY,SEGA,Very Positive,"(47,817)",42813,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition?snr=1_category_4_strategy_salebrowseall
Bloons TD 6,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,"Tower Defense, Strategy, Multiplayer, Singleplayer, Online Co-Op, Co-op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Great Soundtrack, Difficult, Funny, Cute, Survival, Action, Indie, 2D, Adventure",2018-12-17,Ninja Kiwi,Ninja Kiwi,Overwhelmingly Positive,"(289,266)",217745,https://store.steampowered.com/app/960090/Bloons_TD_6?snr=1_category_4_strategy_salebrowseall
