name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Crusader Kings III,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.","Strategy, Medieval, Grand Strategy, Simulation, RPG, Historical, Management, Character Customization, RTS, Life Sim, Sandbox, Choices Matter, War, Singleplayer, Economy, 4X, Political, Moddable, Multiplayer, Real-Time with Pause",2020-09-01,Paradox Development Studio,Paradox Interactive,Very Positive,"(72,759)",54773,https://store.steampowered.com/app/1158310/Crusader_Kings_III?snr=1_category_4_rpg_salebrowseall
Persona 5 Royal,"Don the mask and join the Phantom Thieves of Hearts as they stage grand heists, infiltrate the minds of the corrupt, and make them change their ways!","JRPG, Story Rich, Great Soundtrack, Turn-Based Combat, Anime, RPG, Singleplayer, Party-Based RPG, Dating Sim, Multiple Endings, Turn-Based Strategy, Emotional, Visual Novel, Colorful, Sexual Content, Adventure, Heist, Soundtrack, Detective, Violent",2022-10-20,ATLUS,SEGA,Overwhelmingly Positive,"(54,601)",25401,https://store.steampowered.com/app/1687950/Persona_5_Royal?snr=1_category_4_rpg_salebrowseall
Dale & Dawson Stationery Supplies,"In 'Dale & Dawson Stationery Supplies,' play as a Manager, Specialist, or Slacker in an office setting. Slackers blend in, mimicking Specialists to avoid the Managers suspicion. Uncover or cause deception to win.","Casual, 3D, RPG, Social Deduction, First-Person, Multiplayer, Comedy, Party-Based RPG, Tactical RPG, Third Person, '1990s', Strategy, Character Customization, Online Co-Op, Co-op, Politics, PvP, Sexual Content",2024-08-30,Striped Panda Studios,Striped Panda Studios,Very Positive,"(93% of 2,688) All Time",2023,https://store.steampowered.com/app/2920570/Dale__Dawson_Stationery_Supplies?snr=1_category_4_rpg_100726
Path of Exile,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win.","Free to Play, Dark Fantasy, Action RPG, Hack and Slash, Loot, MMORPG, Multiplayer, Dungeon Crawler, Isometric, Character Customization, RPG, Inventory Management, Singleplayer, Online Co-Op, Action, PvP, Horror, Massively Multiplayer, Fantasy, Adventure",2013-10-23,Grinding Gear Games,Grinding Gear Games,Very Positive,"(226,231)",130230,https://store.steampowered.com/app/238960/Path_of_Exile?snr=1_category_4_rpg_100726
Stardew Valley,"Youve inherited your grandfathers old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","Farming Sim, Pixel Graphics, Life Sim, Multiplayer, RPG, Relaxing, Agriculture, Simulation, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Cute, Dating Sim, Great Soundtrack, Fishing",2016-02-26,ConcernedApe,ConcernedApe,Overwhelmingly Positive,"(644,043)",377167,https://store.steampowered.com/app/413150/Stardew_Valley?snr=1_category_4_rpg_100726
STAR WARS™: The Old Republic™,"STAR WARS™: The Old Republic™ is a free-to-play MMORPG that puts you at the center of your own story-driven saga. Play as a Jedi, Sith, Bounty Hunter, or one of many other iconic STAR WARS roles in the galaxy far, far away over three thousand years before the classic films.","Free to Play, MMORPG, Multiplayer, Character Customization, Open World, RPG, Story Rich, Choices Matter, Massively Multiplayer, Sci-fi, Adventure, Space, Action, Third Person, PvP, Atmospheric, Action RPG, Party-Based RPG, Great Soundtrack, CRPG",2011-12-20,Broadsword,Electronic Arts,Very Positive,"(62,836)",43862,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic?snr=1_category_4_rpg_100726
Fallout 76,"Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.","Open World, Dark Comedy, Multiplayer, Post-apocalyptic, RPG, Capitalism, Survival, Base Building, Co-op, Shooter, Horror, MMORPG, Exploration, FPS, Gore, Singleplayer, Violent, Atmospheric, Early Access, Great Soundtrack",2020-04-14,Bethesda Game Studios,Bethesda Softworks,Mostly Positive,"(61,554)",66351,https://store.steampowered.com/app/1151340/Fallout_76?snr=1_category_4_rpg_100726
Project Zomboid,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..","Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Co-op, Crafting, Indie, Building, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access",2013-11-08,The Indie Stone,The Indie Stone,Very Positive,"(243,331)",143110,https://store.steampowered.com/app/108600/Project_Zomboid?snr=1_category_4_rpg_100726
Dark and Darker,"An unforgiving hardcore fantasy FPS dungeon PvPvE adventure. Band together with your friends and use your courage, wits, and cunning to uncover mythical treasures, defeat gruesome monsters, while staying one step ahead of the other devious treasure-hunters.","Early Access, Dungeon Crawler, Multiplayer, Medieval, Loot, PvP, RPG, Battle Royale, Online Co-Op, PvE, First-Person, Fantasy, Survival, Extraction Shooter, Class-Based, Magic, Team-Based, Swordplay, Exploration, Dark",2024-06-08,IRONMACE,IRONMACE,Mostly Positive,"(48,021)",28740,https://store.steampowered.com/app/2016590/Dark_and_Darker?snr=1_category_4_rpg_100726
Visions of Mana,Explore a world of elemental spirits and adventure in the latest Mana action-RPG.,"RPG, JRPG, Party-Based RPG, Action RPG, 3D, Cute, Action, Lore-Rich, Story Rich, Colorful, Fantasy, Anime, Magic, Class-Based, Atmospheric, Adventure, Singleplayer, Old School, Open World",2024-08-29,Square Enix,Square Enix,Very Positive,"(81% of 1,171) All Time",776,https://store.steampowered.com/app/2490990/Visions_of_Mana?snr=1_category_4_rpg_100726
